ZIP,Borough,Neighborhood,Year,Total Adjusted Gross Income (IRS),Number of Returns (IRS),AGI_raw,AGI,AGI_num,AdjacentIncome,Median HH Income ($),Mean HH Income ($),Median Home Value ($/sq. foot),% Employed,% Unemployed,% Not in Labor Force,Bordering Water,Number of Subway Stations in ZIP,Stops in ZIP,Number of Subway Lines Serving ZIP,Lines Serving ZIP,Number of Parks,Number of Playgrounds,Park Acreage,LandSqMile,Latitude,Longitude,adjacentZIP,Zillow_value,Zillow_value2,ZillowAdj,Price_Index,AdjacentZillow2,Proximity,Coffees,NewCoffees,CRIME_COUNT,A1,A2,DM,NB,Color,Probability,IncomeLow,IncomeHigh,HouseLow,HouseHigh
10001,Manhattan,Chelsea and Clinton,2012,"$1,915,739,000 ","13,300",144041,"$148,689",148689,299832.99,"$76,138.00 ","$136,992.00 ","$1,182.17 ",65.90%,6.30%,27.80%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.632851535,0.632851535,0.653274439,0.653274439,0.51,0.006202142,,,2199,30,856,10,9,green,98,43806.49461,64178.36753,0.743871403,0.814889738
10001,Manhattan,Chelsea and Clinton,2013,"$2,094,642,000 ","13,720",152671,"$155,269",155269,288204.28,"$81,671.00 ","$157,557.00 ","$1,348.67 ",65.30%,6.50%,28.20%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.721984297,0.721984297,0.734269582,0.734269582,0.55,0.006202142,4,0,2098,34,957,13,6,green,98,43815.08331,64311.00676,0.775961819,0.83549439
10001,Manhattan,Chelsea and Clinton,2014,"$2,363,960,000 ","14,080",167895,"$168,063",168063,291979.19,"$81,445.00 ","$151,316.00 ","$1,535.83 ",65%,6.20%,28.80%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.822180585,0.822180585,0.823002766,0.823002766,0.69,0.006202142,18,1,2063,26,1084,21,16,blue,65,44754.1094,66383.317,0.834928415,0.869141886
10001,Manhattan,Chelsea and Clinton,2015,"$2,368,986,000 ","14,310",165548,"$165,548",165548,292593.25,"$86,801.00 ","$158,183.00 ","$1,618.42 ",64.70%,5.90%,29.40%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.798497859,0.798497859,0.798497859,0.798497859,0.76,0.006202142,34,3,2094,35,1051,12,14,blue,65,46874.6,69680,0.890887346,0.913241778
10001,Manhattan,Chelsea and Clinton,2016,"$2,368,986,000 ","14,310",165548,"$165,548",165548,292593.25,"$86,801.00 ","$158,183.00 ","$1,618.42 ",64.70%,5.90%,29.40%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.850342683,0.850342683,0.839430092,0.839430092,0.76,0.006202142,34,3,2094,35,1051,12,14,blue,65,46874.6,69680,0.890887346,0.913241778
10001,Manhattan,Chelsea and Clinton,2017,"$2,368,986,000 ","14,310",165548,"$165,548",165548,292593.25,"$86,801.00 ","$158,183.00 ","$1,618.42 ",64.70%,5.90%,29.40%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.890121927,0.890121927,0.861469453,0.861469453,0.76,0.006202142,34,3,2094,35,1051,12,14,blue,65,46874.6,69680,0.890887346,0.913241778
10001,Manhattan,Chelsea and Clinton,2018,"$2,368,986,000 ","14,310",165548,"$165,548",165548,292593.25,"$86,801.00 ","$158,183.00 ","$1,618.42 ",64.70%,5.90%,29.40%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.798497859,0.798497859,0.798497859,0.798497859,0.76,0.006202142,34,3,2094,35,1051,12,14,blue,65,46874.6,69680,0.890887346,0.913241778
10001,Manhattan,Chelsea and Clinton,2019,"$2,368,986,000 ","14,310",165548,"$165,548",165548,292593.25,"$86,801.00 ","$158,183.00 ","$1,618.42 ",64.70%,5.90%,29.40%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.798497859,0.798497859,0.798497859,0.798497859,0.76,0.006202142,34,3,2094,35,1051,12,14,blue,65,46874.6,69680,0.890887346,0.913241778
10001,Manhattan,Chelsea and Clinton,2020,"$2,368,986,000 ","14,310",165548,"$165,548",165548,292593.25,"$86,801.00 ","$158,183.00 ","$1,618.42 ",64.70%,5.90%,29.40%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.798497859,0.798497859,0.798497859,0.798497859,0.76,0.006202142,34,3,2094,35,1051,12,14,blue,65,46874.6,69680,0.890887346,0.913241778
10001,Manhattan,Chelsea and Clinton,2021,"$2,368,986,000 ","14,310",165548,"$165,548",165548,292593.25,"$86,801.00 ","$158,183.00 ","$1,618.42 ",64.70%,5.90%,29.40%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.798497859,0.798497859,0.798497859,0.798497859,0.76,0.006202142,34,3,2094,35,1051,12,14,blue,65,46874.6,69680,0.890887346,0.913241778
10001,Manhattan,Chelsea and Clinton,2022,"$2,368,986,000 ","14,310",165548,"$165,548",165548,292593.25,"$86,801.00 ","$158,183.00 ","$1,618.42 ",64.70%,5.90%,29.40%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.798497859,0.798497859,0.798497859,0.798497859,0.76,0.006202142,34,3,2094,35,1051,12,14,blue,65,46874.6,69680,0.890887346,0.913241778
10001,Manhattan,Chelsea and Clinton,2023,"$2,368,986,000 ","14,310",165548,"$165,548",165548,292593.25,"$86,801.00 ","$158,183.00 ","$1,618.42 ",64.70%,5.90%,29.40%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.798497859,0.798497859,0.798497859,0.798497859,0.76,0.006202142,34,3,2094,35,1051,12,14,blue,65,46874.6,69680,0.890887346,0.913241778
10001,Manhattan,Chelsea and Clinton,2024,"$2,368,986,000 ","14,310",165548,"$165,548",165548,292593.25,"$86,801.00 ","$158,183.00 ","$1,618.42 ",64.70%,5.90%,29.40%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.798497859,0.798497859,0.798497859,0.798497859,0.76,0.006202142,34,3,2094,35,1051,12,14,blue,65,46874.6,69680,0.890887346,0.913241778
10001,Manhattan,Chelsea and Clinton,2025,"$2,368,986,000 ","14,310",165548,"$165,548",165548,292593.25,"$86,801.00 ","$158,183.00 ","$1,618.42 ",64.70%,5.90%,29.40%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.798497859,0.798497859,0.798497859,0.798497859,0.76,0.006202142,34,3,2094,35,1051,12,14,blue,65,46874.6,69680,0.890887346,0.913241778
10002,Manhattan,Lower East Side,2001,"$1,013,271,000 ","30,128",33632,"$44,992",44992,147932.94,,,,,,,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",,,,,,0.021629012,,,,36,363,7,11,green,99,52061.08675,80382.83593,0,0
10002,Manhattan,Lower East Side,2002,"$1,014,170,000 ","30,066",33731,"$44,414",44414,136470.87,,,,,,,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",,,,,,0.021629012,,,,41,385,2,2,green,99,51446.63339,78836.50594,0,0
10002,Manhattan,Lower East Side,2004,"$1,159,588,000 ","40,975",28300,"$35,467",35467,125981.99,,,,,,,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",,,,,,0.019185543,,,,38,385,6,6,green,99,43532.17044,63267.33923,0,0
10002,Manhattan,Lower East Side,2005,"$1,300,710,000 ","42,171",30844,"$37,385",37385,145386.53,,,,,,,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.401017131,0.401017131,0.486054988,0.486054988,0.53,0.019185543,,,,36,416,7,9,green,99,43487.57892,64127.4283,0.822550449,0.978768815
10002,Manhattan,Lower East Side,2006,"$1,477,878,000 ","44,024",33570,"$39,427",39427,161426.99,,,,,,,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.470690578,0.470690578,0.55281305,0.55281305,0.6,0.019185543,,,2114,34,419,10,7,green,99,44350.42332,66478.2646,0.893471665,1.130588767
10002,Manhattan,Lower East Side,2007,"$1,748,633,000 ","50,732",34468,"$39,379",39379,177000.75,,,,,,,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.515390792,0.515390792,0.58882511,0.58882511,0.62,0.019185543,,,2428,32,450,15,8,green,99,43326.83186,63664.85351,0.892759679,1.135458269
10002,Manhattan,Lower East Side,2008,"$1,743,798,000 ","45,236",38549,"$42,429",42429,170185.03,,,,,,,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.543897216,0.543897216,0.59864471,0.59864471,0.64,0.016326233,,,2238,26,508,10,8,green,99,44541.41962,64579.99543,0.890607641,1.042492584
10002,Manhattan,Lower East Side,2009,"$1,652,980,000 ","44,144",37445,"$41,380",41380,147975.7,,,,,,,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.503791934,0.503791934,0.556729437,0.556729437,0.6,0.019185543,,,2214,25,434,11,4,green,99,43818.55709,64797.35987,0.83252179,0.960932841
10002,Manhattan,Lower East Side,2010,"$1,791,614,000 ","44,718",40065,"$43,578",43578,165345.57,,,,,,,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.497100286,0.497100286,0.540683704,0.540683704,0.51,0.016326233,,,2123,23,443,3,3,green,99,44081.30464,64251.15544,0.791133741,0.921456724
10002,Manhattan,Lower East Side,2011,"$1,840,625,000 ","44,538",41327,"$43,557",43557,169647.2,"$32,407.00 ","$57,063.00 ",$936.75 ,50.80%,5.90%,43.30%,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.501472163,0.501472163,0.528526053,0.528526053,0.51,0.019185543,,,2056,18,464,0,4,green,99,43502.16391,62963.96339,0.749871815,0.846616676
10002,Manhattan,Lower East Side,2012,"$1,944,420,000 ","43,460",44740,"$46,184",46184,197645.46,"$32,265.00 ","$58,104.00 ",$987.25 ,50.30%,6%,43.60%,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.528506424,0.528506424,0.545561982,0.545561982,0.53,0.019185543,,,2159,24,495,8,4,green,99,43806.49461,64178.36753,0.743871403,0.814889738
10002,Manhattan,Lower East Side,2013,"$2,002,349,000 ","43,410",46126,"$46,911",46911,189165.18,"$33,218.00 ","$60,347.00 ","$1,041.75 ",49.70%,6.50%,43.60%,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.557682013,0.557682013,0.56717153,0.56717153,0.58,0.019185543,0,0,2097,21,561,6,8,green,99,43815.08331,64311.00676,0.775961819,0.83549439
10002,Manhattan,Lower East Side,2014,"$2,215,542,000 ","43,370",51085,"$51,136",51136,220101.28,"$32,966.00 ","$60,564.00 ","$1,125.67 ",50%,6.20%,43.70%,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.602605282,0.602605282,0.603207887,0.603207887,0.65,0.015393492,8,0,1983,19,513,3,5,green,99,44754.1094,66383.317,0.834928415,0.869141886
10002,Manhattan,Lower East Side,2015,"$2,302,242,000 ","43,190",53305,"$53,305",53305,231646.4,"$33,726.00 ","$61,946.00 ","$1,222.08 ",51%,5%,43.90%,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.656210724,0.656210724,0.656210724,0.656210724,0.71,0.016326233,23,3,2183,27,587,29,9,green,99,46874.6,69680,0.890887346,0.913241778
10002,Manhattan,Lower East Side,2016,"$2,302,242,000 ","43,190",53305,"$53,305",53305,231646.4,"$33,726.00 ","$61,946.00 ","$1,222.08 ",51%,5%,43.90%,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.713809947,0.713809947,0.704649504,0.704649504,0.71,0.016326233,23,3,2183,27,587,29,9,green,99,46874.6,69680,0.890887346,0.913241778
10002,Manhattan,Lower East Side,2017,"$2,302,242,000 ","43,190",53305,"$53,305",53305,231646.4,"$33,726.00 ","$61,946.00 ","$1,222.08 ",51%,5%,43.90%,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.760129796,0.760129796,0.735661688,0.735661688,0.71,0.016326233,23,3,2183,27,587,29,9,green,99,46874.6,69680,0.890887346,0.913241778
10002,Manhattan,Lower East Side,2018,"$2,302,242,000 ","43,190",53305,"$53,305",53305,231646.4,"$33,726.00 ","$61,946.00 ","$1,222.08 ",51%,5%,43.90%,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.656210724,0.656210724,0.656210724,0.656210724,0.71,0.016326233,23,3,2183,27,587,29,9,green,99,46874.6,69680,0.890887346,0.913241778
10002,Manhattan,Lower East Side,2019,"$2,302,242,000 ","43,190",53305,"$53,305",53305,231646.4,"$33,726.00 ","$61,946.00 ","$1,222.08 ",51%,5%,43.90%,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.656210724,0.656210724,0.656210724,0.656210724,0.71,0.016326233,23,3,2183,27,587,29,9,green,99,46874.6,69680,0.890887346,0.913241778
10002,Manhattan,Lower East Side,2020,"$2,302,242,000 ","43,190",53305,"$53,305",53305,231646.4,"$33,726.00 ","$61,946.00 ","$1,222.08 ",51%,5%,43.90%,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.656210724,0.656210724,0.656210724,0.656210724,0.71,0.016326233,23,3,2183,27,587,29,9,green,99,46874.6,69680,0.890887346,0.913241778
10002,Manhattan,Lower East Side,2021,"$2,302,242,000 ","43,190",53305,"$53,305",53305,231646.4,"$33,726.00 ","$61,946.00 ","$1,222.08 ",51%,5%,43.90%,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.656210724,0.656210724,0.656210724,0.656210724,0.71,0.016326233,23,3,2183,27,587,29,9,green,99,46874.6,69680,0.890887346,0.913241778
10002,Manhattan,Lower East Side,2022,"$2,302,242,000 ","43,190",53305,"$53,305",53305,231646.4,"$33,726.00 ","$61,946.00 ","$1,222.08 ",51%,5%,43.90%,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.656210724,0.656210724,0.656210724,0.656210724,0.71,0.016326233,23,3,2183,27,587,29,9,green,99,46874.6,69680,0.890887346,0.913241778
10002,Manhattan,Lower East Side,2023,"$2,302,242,000 ","43,190",53305,"$53,305",53305,231646.4,"$33,726.00 ","$61,946.00 ","$1,222.08 ",51%,5%,43.90%,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.656210724,0.656210724,0.656210724,0.656210724,0.71,0.016326233,23,3,2183,27,587,29,9,green,99,46874.6,69680,0.890887346,0.913241778
10002,Manhattan,Lower East Side,2024,"$2,302,242,000 ","43,190",53305,"$53,305",53305,231646.4,"$33,726.00 ","$61,946.00 ","$1,222.08 ",51%,5%,43.90%,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.656210724,0.656210724,0.656210724,0.656210724,0.71,0.016326233,23,3,2183,27,587,29,9,green,99,46874.6,69680,0.890887346,0.913241778
10002,Manhattan,Lower East Side,2024,"$2,302,242,000 ","43,190",53305,"$53,305",53305,231646.4,"$33,726.00 ","$61,946.00 ","$1,222.08 ",51%,5%,43.90%,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.656210724,0.656210724,0.656210724,0.656210724,0.71,0.016326233,23,3,2183,27,587,29,9,green,99,46874.6,69680,0.890887346,0.913241778
10003,Manhattan,Lower East Side,2001,"$3,154,452,000 ","22,733",138761,"$185,631",185631,132498.24,,,,,,,N,6,"14 St - Union Sq, 8 St - NYU, Union Sq - 14 St, 3 Av, 14 St - Union Sq, Astor Pl",8,"N, Q, R, W, L, 4, 5, 6",10,1,13.488,0.6,40.731829,-73.989181,"10011, 10010, 10009, 10002, 10012",,,,,,0.023816981,,,,40,640,0,1,green,98,52061.08675,80382.83593,0,0
10003,Manhattan,Lower East Side,2002,"$2,748,587,000 ","22,098",124382,"$163,775",163775,123925.03,,,,,,,N,6,"14 St - Union Sq, 8 St - NYU, Union Sq - 14 St, 3 Av, 14 St - Union Sq, Astor Pl",8,"N, Q, R, W, L, 4, 5, 6",10,1,13.488,0.6,40.731829,-73.989181,"10011, 10010, 10009, 10002, 10012",,,,,,0.017259417,,,,49,695,1,3,green,98,51446.63339,78836.50594,0,0
