ZIP,BORO,NEIGHBORHOOD,NAME,WIKILINK,description,fulllink
11360,Queens,North Queens,Bayside,"Bayside,_Queens","Bayside is a neighborhood in the New York City borough of Queens. The neighborhood is in the eastern section of Flushing and is part of Queens Community Board 11.[1] CNN Money ranked Bayside as one of the most expensive housing markets nationally when analyzing comparable detached homes throughout the United States.[2] Despite its large housing stock of free-standing homes, it nationally ranks high to very high in population density.[3][4][5] These homes give the neighborhood a similar feel to other wealthy Queens neighborhoods such as Douglaston, Whitestone and Little Neck.","https://en.wikipedia.org/wiki/Bayside,_Queens"
11361,Queens,Northeast Queens,Bayside,"Bayside,_Queens","Bayside is a neighborhood in the New York City borough of Queens. The neighborhood is in the eastern section of Flushing and is part of Queens Community Board 11.[1] CNN Money ranked Bayside as one of the most expensive housing markets nationally when analyzing comparable detached homes throughout the United States.[2] Despite its large housing stock of free-standing homes, it nationally ranks high to very high in population density.[3][4][5] These homes give the neighborhood a similar feel to other wealthy Queens neighborhoods such as Douglaston, Whitestone and Little Neck.","https://en.wikipedia.org/wiki/Bayside,_Queens"
11364,Queens,Northeast Queens,Bayside,"Bayside,_Queens","Bayside is a neighborhood in the New York City borough of Queens. The neighborhood is in the eastern section of Flushing and is part of Queens Community Board 11.[1] CNN Money ranked Bayside as one of the most expensive housing markets nationally when analyzing comparable detached homes throughout the United States.[2] Despite its large housing stock of free-standing homes, it nationally ranks high to very high in population density.[3][4][5] These homes give the neighborhood a similar feel to other wealthy Queens neighborhoods such as Douglaston, Whitestone and Little Neck.","https://en.wikipedia.org/wiki/Bayside,_Queens"
11216,Brooklyn,Central Brooklyn,Bedford-Stuyvesant,"Bedford-Stuyvesant,_Brooklyn","Bedford-Stuyvesant is a neighborhood of 153,000 inhabitants in the north central portion of the New York City borough of Brooklyn. The neighborhood is part of Brooklyn Community Board 3, Brooklyn Community Board 8, and Brooklyn Community Board 16.[3] The neighborhood is patrolled by the NYPD's 79th[4] and 81st[5] precincts. In the City Council, the district is represented by Robert Cornegy of the 36th Council District.","https://en.wikipedia.org/wiki/Bedford-Stuyvesant,_Brooklyn"
11233,Brooklyn,Central Brooklyn,Stuyvesant Heights,"Bedford_Stuyvesant,_Brooklyn","Bedford-Stuyvesant is a neighborhood of 153,000 inhabitants in the north central portion of the New York City borough of Brooklyn. The neighborhood is part of Brooklyn Community Board 3, Brooklyn Community Board 8, and Brooklyn Community Board 16.[3] The neighborhood is patrolled by the NYPD's 79th[4] and 81st[5] precincts. In the City Council, the district is represented by Robert Cornegy of the 36th Council District.","https://en.wikipedia.org/wiki/Bedford_Stuyvesant,_Brooklyn"
11217,Brooklyn,Northwest Brooklyn,Boerum Hill,Boerum_Hill,"Boerum Hill (pronounced BORE-um) is a small neighborhood in the northwestern portion of the New York City borough of Brooklyn, bounded by Schermerhorn Street to the north and Fourth Avenue to the east.[1] The western border is variously given as either Smith or Court Streets, and Warren or Wyckoff Streets as the southern edge.[2]",https://en.wikipedia.org/wiki/Boerum_Hill
11219,Brooklyn,Borough Park,Borough Park,"Borough_Park,_Brooklyn","Borough Park (also spelled Boro Park) is a neighborhood in the southwestern part of the borough of Brooklyn, in New York City, United States. The neighborhood covers an extensive grid of streets between Bensonhurst to the south, Bay Ridge to the southwest, Sunset Park to the west, Kensington to the northeast, Flatbush to the east, and Midwood to the southeast.","https://en.wikipedia.org/wiki/Borough_Park,_Brooklyn"
11435,Queens,Jamaica,Briardwood,"Briarwood,_Queens","Briarwood is a middle class neighborhood in the New York City borough of Queens. It is located northwest of Jamaica and roughly bounded by Van Wyck Expressway to the west, Parsons Boulevard to the east, Parkway Village to the North, and Hillside Avenue to the South. The neighborhood is part of Queens Community Board 8.[1] It lies in the northern half of the 11435 ZIP Code.","https://en.wikipedia.org/wiki/Briarwood,_Queens"
11235,Brooklyn,Southern Brooklyn,Brighton Beach,Brighton_Beach,"Brighton Beach is an oceanside neighborhood in the southern portion of the New York City borough of Brooklyn, along the Coney Island peninsula. According to the 2010 United States Census report, the Brighton Beach and Coney Island area, combined, had more than 110,000 residents. Brighton Beach is bounded by Coney Island proper at Ocean Parkway to the west, Manhattan Beach at Corbin Place to the east, Sheepshead Bay at the Belt Parkway to the north, and the Atlantic Ocean to the south along the beach and boardwalk.",https://en.wikipedia.org/wiki/Brighton_Beach
11212,Brooklyn,Central Brooklyn,Brownsville,"Brownsville,_Brooklyn","Brownsville is a residential neighborhood located in eastern Brooklyn in New York City. The 1.163-square-mile (3.01Â km2) area that comprises Brownsville has 58,300 residents as of the 2010 United States Census. Part of Brooklyn Community Board 16, Brownsville is generally considered part of greater East New York, though it is not actually a part of East New York itself. The neighborhood's boundaries are unclear, but it is generally bordered by Crown Heights and Weeksville to the northwest; Bushwick and Cypress Hills to the north; New Lots to the east; Canarsie to the south; and East Flatbush to the west.","https://en.wikipedia.org/wiki/Brownsville,_Brooklyn"
11221,Brooklyn,Bushwick and Williamsburg,Bushwick,"Bushwick,_Brooklyn","Bushwick is a working-class neighborhood in the northern part of the New York City borough of Brooklyn. The neighborhood, historically a community of Germanic immigrants and their descendants, has been predominantly Hispanic in the late 20th century. The neighborhood, formerly Brooklyn's 18th Ward, is now part of Brooklyn Community Board 4. It is policed by the NYPD's 83rd Precinct and is represented in the New York City Council as part of Districts 34 and 37.[3][4][5]","https://en.wikipedia.org/wiki/Bushwick,_Brooklyn"
11237,Brooklyn,Bushwick and Williamsburg,Bushwick,"Bushwick,_Brooklyn","Bushwick is a working-class neighborhood in the northern part of the New York City borough of Brooklyn. The neighborhood, historically a community of Germanic immigrants and their descendants, has been predominantly Hispanic in the late 20th century. The neighborhood, formerly Brooklyn's 18th Ward, is now part of Brooklyn Community Board 4. It is policed by the NYPD's 83rd Precinct and is represented in the New York City Council as part of Districts 34 and 37.[3][4][5]","https://en.wikipedia.org/wiki/Bushwick,_Brooklyn"
11411,Queens,Southeast Queens,Cambria Heights,"Cambria_Heights,_Queens","Cambria Heights is a residential middle-class neighborhood in the southeastern portion of the New York City borough of Queens. It is bounded by Springfield Boulevard and Francis Lewis Boulevard to the west, the Elmont, Nassau County border on the east, Queens Village to the north, St. Albans to the west, and Montefiore Cemetery and Laurelton, Springfield Gardens and Rosedale to the south.[3] As of 2010, Cambria Heights's population was 18,677.[1] The neighborhood is part of Queens Community Board 13.[4]","https://en.wikipedia.org/wiki/Cambria_Heights,_Queens"
11236,Brooklyn,Canarsie and Flatlands,Canarsie,"Canarsie,_Brooklyn","Canarsie is a working- and middle-class residential and commercial neighborhood in the southeastern portion of the borough of Brooklyn, in New York City, United States.","https://en.wikipedia.org/wiki/Canarsie,_Brooklyn"
10001,Manhattan,Chelsea and Clinton,Chelsea,"Chelsea,_Manhattan","Chelsea is a neighborhood on the West Side of the borough of Manhattan in New York City. The district's boundaries are roughly 14th Street to the south and the Hudson River and West Street to the west, with the northern boundary variously described as 30th Street[3][4] or 34th Street,[5][6][7] and the eastern boundary as either Sixth Avenue[3][7] or Fifth Avenue.[6] To the north of Chelsea is the neighborhood of Hell's Kitchen, as well as the Hudson Yards; to the northeast is the Garment District; to the east are NoMad and the Flatiron District; to the southwest is the Meatpacking District; and to the south and southeast are the West Village and the remainder of Greenwich Village.[8]","https://en.wikipedia.org/wiki/Chelsea,_Manhattan"
10011,Manhattan,Chelsea and Clinton,Chelsea,"Chelsea,_Manhattan","Chelsea is a neighborhood on the West Side of the borough of Manhattan in New York City. The district's boundaries are roughly 14th Street to the south and the Hudson River and West Street to the west, with the northern boundary variously described as 30th Street[3][4] or 34th Street,[5][6][7] and the eastern boundary as either Sixth Avenue[3][7] or Fifth Avenue.[6] To the north of Chelsea is the neighborhood of Hell's Kitchen, as well as the Hudson Yards; to the northeast is the Garment District; to the east are NoMad and the Flatiron District; to the southwest is the Meatpacking District; and to the south and southeast are the West Village and the remainder of Greenwich Village.[8]","https://en.wikipedia.org/wiki/Chelsea,_Manhattan"
11356,Queens,North Queens,College Point,"College_Point,_Queens","College Point is a working-middle-class neighborhood in the New York City borough of Queens. It is located north of Flushing on Flushing Bay and the East River also part of the Queens Community Board 7.[3] Willets Point Boulevard and the Whitestone Expressway are often the neighborhood's approximate boundaries with Flushing and Whitestone, respectively; College Point also borders Willets Point at the Flushing River at the extreme southwest corner. The 109th Precinct of the New York City Police Department (NYPD) serves College Point.[4] College Point is a diverse community, mostly residential with some industrial areas.","https://en.wikipedia.org/wiki/College_Point,_Queens"
11224,Brooklyn,Southern Brooklyn,Coney Island,Coney_Island,"Coney Island is a peninsular residential neighborhood, beach, and leisure/entertainment destination of Long Island on the Coney Island Channel, which is part of the Lower Bay in the southwestern part of the borough of Brooklyn in New York City. The site was formerly an outer barrier island but became partially connected to the rest of Long Island by land fill. The residential portion of the peninsula is a community of 60,000 people in its western part, with Sea Gate to its west, Brighton Beach and Manhattan Beach to its east, the Lower Bay to the south, and Gravesend to the north.",https://en.wikipedia.org/wiki/Coney_Island
11697,Queens,Rockaways,Breezy Point,"Breezy_Point,_Queens","Breezy Point is a neighborhood in the New York City borough of Queens, located on the western end of the Rockaway peninsula, between Rockaway Inlet and Jamaica Bay on the landward side, and the Atlantic Ocean. The neighborhood is part of Queens Community District 14.[1] The community is run by the Breezy Point Cooperative, in which all residents pay the maintenance, security, and community-oriented costs involved with keeping the community private. The cooperative owns the entire 500-acre (2Â km2) community; residents own their homes and hold shares in the cooperative.[2] Breezy Point and the Rockaways are less urbanized than most of the rest of New York City.","https://en.wikipedia.org/wiki/Breezy_Point,_Queens"
10306,Staten Island,South Shore,New Dorp,"New_Dorp,_Staten_Island","New Dorp an anglicization of Nieuw Dorp, Dutch for New Village is a neighborhood in Staten Island, one of the five boroughs of New York City, United States. The community lies near the foot of Todt Hill, with Grant City immediately to its north, Oakwood bordering to the south, and New Dorp Beach bordering on the east.","https://en.wikipedia.org/wiki/New_Dorp,_Staten_Island"
11223,Brooklyn,Southern Brooklyn,Gravesend,"Gravesend,_Brooklyn","Gravesend is a neighborhood in the south-central section of the New York City borough of Brooklyn, in the U.S. state of New York. As of 2010, Gravesend had a population of 29,436.[1]","https://en.wikipedia.org/wiki/Gravesend,_Brooklyn"
11204,Brooklyn,Borough Park,Bensonhurst,"Bensonhurst,_Brooklyn","Bensonhurst is a large, multiethnic neighborhood in the southwestern part of the New York City borough of Brooklyn, in the United States. As defined by the New York City Planning Commission, the neighborhood's borders are 14th Avenue and Dyker Heights to the west, 60th Street Borough Park to the north, McDonald Avenue and Avenue N Midwood to the east and northeast, Stillwell Avenue and 86th Street southeast Gravesend, and 86th Street and 16th Avenue Bath Beach on the south and southwest.[1]","https://en.wikipedia.org/wiki/Bensonhurst,_Brooklyn"
11210,Brooklyn,Flatbush,Flatlands,"Flatlands,_Brooklyn","Flatlands is a neighborhood in the southeast part of the borough of Brooklyn in New York City. The area is part of Brooklyn Community Board 18.[1] Originally an independent town,[2] Flatlands became part of the City of Brooklyn in 1896.","https://en.wikipedia.org/wiki/Flatlands,_Brooklyn"
11230,Brooklyn,Borough Park,Midwood,"Midwood,_Brooklyn","Midwood is a neighborhood in the south-central part of the New York City borough of Brooklyn. It is within Community District 14. Its State Senate district, per the reapportionment based the 2010 U.S. Census, is the 17th.","https://en.wikipedia.org/wiki/Midwood,_Brooklyn"
11218,Brooklyn,Borough Park,Kensington,"Kensington,_Brooklyn","Kensington is a neighborhood in the center of the New York City borough of Brooklyn in the zip code 11218. It is the area south of Prospect Park and the Green-Wood Cemetery. It is bordered by Coney Island Avenue to the east, Fort Hamilton Parkway and Caton Avenue to the north, McDonald Avenue and 36th Street to the west, and 18th Avenue to the south.The neighborhoods that border it are Ditmas Park and Prospect Park South to the east (both of which are parts of Flatbush), Windsor Terrace to the north, Borough Park to the west, and Midwood to the south.","https://en.wikipedia.org/wiki/Kensington,_Brooklyn"
11220,Brooklyn,Sunset Park,Sunset Park,"Sunset_Park,_Brooklyn","Sunset Park is a neighborhood in the southwestern part of the New York City borough of Brooklyn. It is bounded by Park Slope, Greenwood Heights and Green-Wood Cemetery to the north, Borough Park to the east, Bay Ridge to the south, and Upper New York Bay to the west.[3][4] Because it was once close to the southern boundary of the City of Brooklyn, Sunset Park is considered to be part of South Brooklyn.[4] However, until the 1960s, the northern part of Sunset Park was considered to be part of Gowanus, and the southern part was included in Bay Ridge. The neighborhood received its own name in that decade.[5]","https://en.wikipedia.org/wiki/Sunset_Park,_Brooklyn"
11232,Brooklyn,Sunset Park,Greenwood,"Sunset_Park,_Brooklyn","Sunset Park is a neighborhood in the southwestern part of the New York City borough of Brooklyn. It is bounded by Park Slope, Greenwood Heights and Green-Wood Cemetery to the north, Borough Park to the east, Bay Ridge to the south, and Upper New York Bay to the west.[3][4] Because it was once close to the southern boundary of the City of Brooklyn, Sunset Park is considered to be part of South Brooklyn.[4] However, until the 1960s, the northern part of Sunset Park was considered to be part of Gowanus, and the southern part was included in Bay Ridge. The neighborhood received its own name in that decade.[5]","https://en.wikipedia.org/wiki/Sunset_Park,_Brooklyn"
11225,Brooklyn,Flatbush,Prospect Lefferts Gardens,Prospect_Lefferts_Gardens,"Prospect Lefferts Gardens is a residential neighborhood in the Flatbush area of the New York City borough of Brooklyn. The community is bounded by Empire Boulevard (formerly Malbone Street) to the north, Clarkson Avenue to the south, New York Avenue to the east, and Ocean Avenue/Prospect Park to the west.[1] Prospect Lefferts Gardens is part of Brooklyn Community Board 9 and is serviced by the New York City Police Department's 71st Precinct.",https://en.wikipedia.org/wiki/Prospect_Lefferts_Gardens
11238,Brooklyn,Central Brooklyn,Prospect Heights,"Prospect_Heights,_Brooklyn","Prospect Heights is a neighborhood in the northwest of the New York City borough of Brooklyn. The traditional boundaries are Flatbush Avenue to the west, Atlantic Avenue to the north, Eastern Parkway â€“ beginning at Grand Army Plaza â€“ to the south, and Washington Avenue to the east.[1][2][3][4][5] In the northern section of Prospect Heights are the Vanderbilt Rail Yards, built over as part of the Pacific Park (formerly Atlantic Yards) project. The Barclays Center, home to the NBA's Brooklyn Nets basketball team and the NHL's New York Islanders ice hockey team, is located in the northwestern corner of the neighborhood in Pacific Park at Flatbush and Atlantic Avenues.","https://en.wikipedia.org/wiki/Prospect_Heights,_Brooklyn"
11205,Brooklyn,Northwest Brooklyn,Clinton Hill,"Clinton_Hill,_Brooklyn","Clinton Hill is a neighborhood in north-central Brooklyn, a borough of New York City. It is bordered by the Brooklyn Navy Yard and the Brooklyn-Queens Expressway to the north, Williamsburg to the northeast, Classon Avenue and Bedfordâ€“Stuyvesant to the east, Atlantic Avenue and Prospect Heights to the south and southwest and Vanderbilt Avenue and Fort Greene to the west.[1][2]","https://en.wikipedia.org/wiki/Clinton_Hill,_Brooklyn"
11201,Brooklyn,Northwest Brooklyn,Downtown Brooklyn,Downtown_Brooklyn,"Downtown Brooklyn is the third largest central business district in New York City, United States (following Midtown Manhattan and Lower Manhattan[2]), and is located in the northwestern section of the borough of Brooklyn. The neighborhood is known for its office and residential buildings, such as the Williamsburgh Savings Bank Tower and the MetroTech Center office complex.",https://en.wikipedia.org/wiki/Downtown_Brooklyn
10004,Manhattan,Lower Manhattan,Financial District,"Financial_District,_Manhattan","The Financial District, also known as FiDi,[1] is a neighborhood located at the southern tip of the borough of Manhattan in New York City, which comprises the offices and headquarters of many of the city's major financial institutions, including the New York Stock Exchange and the Federal Reserve Bank of New York. Anchored on Wall Street in the Financial District, New York City has been called both the most financially powerful city and the leading financial center of the world,[2][3][4][5][6] and the New York Stock Exchange is the world's largest stock exchange by total market capitalization.[7][8] Several other major exchanges have or had headquarters in the Financial District, including the New York Mercantile Exchange, NASDAQ, the New York Board of Trade, and the former American Stock Exchange.","https://en.wikipedia.org/wiki/Financial_District,_Manhattan"
10005,Manhattan,Lower Manhattan,Financial District,"Financial_District,_Manhattan","The Financial District, also known as FiDi,[1] is a neighborhood located at the southern tip of the borough of Manhattan in New York City, which comprises the offices and headquarters of many of the city's major financial institutions, including the New York Stock Exchange and the Federal Reserve Bank of New York. Anchored on Wall Street in the Financial District, New York City has been called both the most financially powerful city and the leading financial center of the world,[2][3][4][5][6] and the New York Stock Exchange is the world's largest stock exchange by total market capitalization.[7][8] Several other major exchanges have or had headquarters in the Financial District, including the New York Mercantile Exchange, NASDAQ, the New York Board of Trade, and the former American Stock Exchange.","https://en.wikipedia.org/wiki/Financial_District,_Manhattan"
10006,Manhattan,Lower Manhattan,Financial District,"Financial_District,_Manhattan","The Financial District, also known as FiDi,[1] is a neighborhood located at the southern tip of the borough of Manhattan in New York City, which comprises the offices and headquarters of many of the city's major financial institutions, including the New York Stock Exchange and the Federal Reserve Bank of New York. Anchored on Wall Street in the Financial District, New York City has been called both the most financially powerful city and the leading financial center of the world,[2][3][4][5][6] and the New York Stock Exchange is the world's largest stock exchange by total market capitalization.[7][8] Several other major exchanges have or had headquarters in the Financial District, including the New York Mercantile Exchange, NASDAQ, the New York Board of Trade, and the former American Stock Exchange.","https://en.wikipedia.org/wiki/Financial_District,_Manhattan"
10280,Manhattan,Lower Manhattan,Battery Park City,Battery_Park_City,"Battery Park City is a mainly residential 92-acre (37Â ha) planned community on the west side of the southern tip of the island of Manhattan in New York City. More than one-third of the development is parkland.[1] The land upon which it is built was created by land reclamation on the Hudson River using over 3Â million cubic yards (2.3Ã—10^6Â m3) of soil and rock excavated during the construction of the World Trade Center, the New York City Water Tunnel, and certain other construction projects, as well as from sand dredged from New York Harbor off Staten Island.[2] The neighborhood, which is the site of Brookfield Place (formerly the World Financial Center), along with numerous buildings designed for housing, commercial, and retail, is named for adjacent Battery Park.",https://en.wikipedia.org/wiki/Battery_Park_City
11375,Queens,Northwest Queens,Forest Hills,"Forest_Hills,_Queens","Forest Hills is a mostly residential neighborhood in the borough of Queens in New York City. Originally, the area was referred to as ""Whitepot"".[2] It is bounded by 62nd Ave to the Northeast, 67th Ave to the Northwest, Union Turnpike to the south, Grand Central Parkway to the east, and Yellowstone Blvd to the Southwest.","https://en.wikipedia.org/wiki/Forest_Hills,_Queens"
10007,Manhattan,Lower Manhattan,Tribeca,Tribeca,"Tribeca, originally written as TriBeCa, is a neighborhood in Lower Manhattan, New York City. Its name is a syllabic abbreviation from ""Triangle Below Canal Street"". The ""triangle"", or more accurately, a trapezoid, is bounded by Canal Street, West Street, Broadway, and either Chambers, Vesey, or Murray Streets.",https://en.wikipedia.org/wiki/Tribeca
10013,Manhattan,Greenwich Village and Soho,Tribeca,Tribeca,"Tribeca, originally written as TriBeCa, is a neighborhood in Lower Manhattan, New York City. Its name is a syllabic abbreviation from ""Triangle Below Canal Street"". The ""triangle"", or more accurately, a trapezoid, is bounded by Canal Street, West Street, Broadway, and either Chambers, Vesey, or Murray Streets.",https://en.wikipedia.org/wiki/Tribeca
11004,Queens,Southeast Queens,Glen Oaks,"Glen_Oaks,_Queens",Glen Oaks is a middle class neighborhood in the easternmost portion of the New York City Borough of Queens. The neighborhood is part of Queens Community Board 13.[1],"https://en.wikipedia.org/wiki/Glen_Oaks,_Queens"
11005,Queens,Southeast Queens,Glen Oaks,"Glen_Oaks,_Queens",Glen Oaks is a middle class neighborhood in the easternmost portion of the New York City Borough of Queens. The neighborhood is part of Queens Community Board 13.[1],"https://en.wikipedia.org/wiki/Glen_Oaks,_Queens"
11426,Queens,Southeast Queens,Glen Oaks,"Glen_Oaks,_Queens",Glen Oaks is a middle class neighborhood in the easternmost portion of the New York City Borough of Queens. The neighborhood is part of Queens Community Board 13.[1],"https://en.wikipedia.org/wiki/Glen_Oaks,_Queens"
10016,Manhattan,Gramercy Park and Murray Hill,Murray Hill,"Murray_Hill,_Manhattan","Murray Hill is a neighborhood in midtown Manhattan in New York City. In 1999, Manhattan Community Board 6 â€“ of which Murray Hill is part â€“ defined the boundaries as East 34th Street to the south, East 40th Street to the north, Madison Avenue to the west, and East River to the east.[1]","https://en.wikipedia.org/wiki/Murray_Hill,_Manhattan"
10017,Manhattan,Gramercy Park and Murray Hill,Turtle Bay,"Turtle_Bay,_Manhattan","Turtle Bay is a neighborhood in New York City, on the east side of Midtown Manhattan. It extends from either 41st[1] or 43rd Streets[2][3] to 53rd Street,[1] and eastward from Lexington Avenue to the East River's western branch, facing Roosevelt Island.[4][2]","https://en.wikipedia.org/wiki/Turtle_Bay,_Manhattan"
11363,Queens,Northeast Queens,Douglaston,"Douglaston,_Queens","Douglaston is an upper middle class community in the New York City borough of Queens. Douglaston comprises six distinct neighborhoods: Douglas Bay,[2] Douglas Manor,[3] and Douglaston Hill, all located north of Northern Boulevard on the peninsula abutting Little Neck Bay; Douglaston Park, located between Northern Boulevard and the Long Island Expressway; and two areas south of the Expressway, Winchester Estates and an area simply known as Douglaston. The neighborhood is part of Queens Community Board 11[4] and New York City school district 26.","https://en.wikipedia.org/wiki/Douglaston,_Queens"
10028,Manhattan,Upper East Side,Yorkville,"Yorkville,_Manhattan","Yorkville is a neighborhood in the Upper East Side of Manhattan, New York City. Its southern boundary is East 79th Street, its northern East 96th Street, its western Third Avenue, and its eastern the East River.[1]","https://en.wikipedia.org/wiki/Yorkville,_Manhattan"
10128,Manhattan,Upper East Side,Yorkville,"Yorkville,_Manhattan","Yorkville is a neighborhood in the Upper East Side of Manhattan, New York City. Its southern boundary is East 79th Street, its northern East 96th Street, its western Third Avenue, and its eastern the East River.[1]","https://en.wikipedia.org/wiki/Yorkville,_Manhattan"
10026,Manhattan,Central Harlem,Central Harlem,Harlem,"Harlem is a large neighborhood in the northern section of the New York City borough of Manhattan. Since the 1920s, Harlem has been known as a major African American residential, cultural and business center. Originally a Dutch village, formally organized in 1658,[5] it is named after the city of Haarlem in the Netherlands. Harlem's history has been defined by a series of economic boom-and-bust cycles, with significant population shifts accompanying each cycle.[6]",https://en.wikipedia.org/wiki/Harlem
10027,Manhattan,Central Harlem,West Harlem,Harlem,"Harlem is a large neighborhood in the northern section of the New York City borough of Manhattan. Since the 1920s, Harlem has been known as a major African American residential, cultural and business center. Originally a Dutch village, formally organized in 1658,[5] it is named after the city of Haarlem in the Netherlands. Harlem's history has been defined by a series of economic boom-and-bust cycles, with significant population shifts accompanying each cycle.[6]",https://en.wikipedia.org/wiki/Harlem
10030,Manhattan,Central Harlem,Central Harlem,Harlem,"Harlem is a large neighborhood in the northern section of the New York City borough of Manhattan. Since the 1920s, Harlem has been known as a major African American residential, cultural and business center. Originally a Dutch village, formally organized in 1658,[5] it is named after the city of Haarlem in the Netherlands. Harlem's history has been defined by a series of economic boom-and-bust cycles, with significant population shifts accompanying each cycle.[6]",https://en.wikipedia.org/wiki/Harlem
10037,Manhattan,Central Harlem,Central Harlem,Harlem,"Harlem is a large neighborhood in the northern section of the New York City borough of Manhattan. Since the 1920s, Harlem has been known as a major African American residential, cultural and business center. Originally a Dutch village, formally organized in 1658,[5] it is named after the city of Haarlem in the Netherlands. Harlem's history has been defined by a series of economic boom-and-bust cycles, with significant population shifts accompanying each cycle.[6]",https://en.wikipedia.org/wiki/Harlem
10039,Manhattan,Central Harlem,Central Harlem,Harlem,"Harlem is a large neighborhood in the northern section of the New York City borough of Manhattan. Since the 1920s, Harlem has been known as a major African American residential, cultural and business center. Originally a Dutch village, formally organized in 1658,[5] it is named after the city of Haarlem in the Netherlands. Harlem's history has been defined by a series of economic boom-and-bust cycles, with significant population shifts accompanying each cycle.[6]",https://en.wikipedia.org/wiki/Harlem
